id,office_id,name,numberofpeople,gender,alias,active,activeend,master,oldname,brain,encounter,named,memo,official,twitter,youtube,tiktok
1463,73,ニックス ,2,22,,1998/1/1 0:00,,Wエース 6代目三遊亭円楽,フラワーII（1998年 - 1999年） ニックス1/4（1999年 - 2000年）,,実の姉妹,,,https://nichien-pro.jp/comedian/383.html,,https://www.youtube.com/channel/UC2HVBg_gmK1HrH5e8ncKzHg/videos,
1464,96,ニッチェ ,2,22,,2005/1/1 0:00,,,,江上 敬子,日本映画学校,,,https://www.maseki.co.jp/talent/nicche,,https://www.youtube.com/channel/UCp_4fFhba_7tDkQp_CW64xQ,
1465,60,日本エレキテル連合,2,22,,2008/1/1 0:00,,,日本パブリック連合,中野聡子,松竹芸能タレントスクール,,,http://www.titan-net.co.jp/talent/elekitel/,,https://www.youtube.com/c/ElekitelDenki,https://www.tiktok.com/@elekitel_kokiyu
1466,85,にぼしいわし,2,22,,2013/1/1 0:00,,,,いわし,高校の同級生,,,https://niboshiiwashi.localinfo.jp/,https://twitter.com/NIBOSHIIWASHI21,https://www.youtube.com/channel/UCIorpM8Kr3xKVpbXvZS4MGg,
1467,47,にわとりとたまご,2,22,,2002/1/1 0:00,2012/1/1 0:00,,親善大使,,高校の同級生,,,https://web.archive.org/web/20120626152456/http://genshijin.com/NewFiles/niwatama.html,,,
1468,108,猫塾,2,22,,2012/5/1 0:00,2019/12/1 0:00,,,,NSC,,,http://www.yoshimoto.co.jp/mugendai/irodori/pc/2015/03/nekojyuku.php,,,
1469,108,ねこ屋敷,2,22,,2017/8/30 0:00,,,無人党（山崎）[1],山崎 愛子,NSC大阪校,,,https://profile.yoshimoto.co.jp/talent/detail?id=6743,https://twitter.com/nekoyashikiinfo,https://www.youtube.com/channel/UCIcvSsMqLr8Zrop8TWCvutA,
1470,85,バーゲンセール ,2,22,,2013/1/1 0:00,2020/1/1 0:00,,,わさびちゃん,,,,https://archive.ph/OOakE,,,
1471,128,VERSUS ,2,22,,1995/10/1 0:00,,,,,小学校,,,,,,
1472,19,パー&ナー,2,22,,1996/1/1 0:00,,,,,,,,https://web.archive.org/web/20100805073559/http://shizuoka.cool.ne.jp/sachio/,,,
1473,128,ばーん,2,22,,1999/1/1 0:00,2021/1/1 0:00,2021/3/31,BURN,,幼少期,,,https://web.archive.org/web/20190328061243/https://www.ohtapro.co.jp/talent/burn.html,,,
1474,108,ハイツ友の会,2,22,,2019/1/1 0:00,,,,,NSC,友人のエピソードトークに登場した「友の会」という単語を気に入った西野が、コンビ名に入れることを清水に提案し快諾。お互いの誕生日（西野は8月1日、清水は8月2日）を繋げると「ハイツ（812）」となることに清水が気付き、これを「友の会」の前に付けた。,ハイツ友の会のついたちラジオhttps://stand.fm/channels/608fa79b26f6f56b2440588b,https://profile.yoshimoto.co.jp/talent/detail?id=7144,,,
1475,108,ハイヒール,2,22,,1982/1/1 0:00,,,,,吉本総合芸能学院,,,https://profile.yoshimoto.co.jp/talent/detail?id=247,,https://www.youtube.com/channel/UC43_yNuckshTzxNgMjySKGg,
1476,21,パイレーツ (タレント),2,22,,1997/1/1 0:00,2001/1/1 0:00,,,,,,,,,,
1477,128,麦芽,2,22,,2005/1/1 0:00,2012/1/1 0:00,,,,,,,https://web.archive.org/web/20130106165902/http://www.ohtapro.co.jp:80/ohta_pro/profile/bakuga/,,,
1478,95,パシンペロン,2,22,,2008/1/1 0:00,,,,,同じ事務所所属、ライブなどでの共演,,,https://ameblo.jp/sienne08/,,,
1479,104,はなしょー,2,22,,2012/1/1 0:00,2022/4/6 0:00,,,杵渕はな,ワタナベコメディスクールの同期生,,,https://web.archive.org/web/20211213075825/https://www.watanabepro.co.jp/mypage/4000070/,,https://www.youtube.com/channel/UCC6L9PemfoSijTrSnPs_DPg,
1480,999,花菱〆吉・花柳貞奴,2,22,,,1972/1/1 0:00,玉子家源丸（〆吉）,,,,,,https://kamigata-manzai-shi.com/sadayakko_simeyakko/,,,
1481,108,ぱぴゅーん,2,22,,2004/7/1 0:00,2010/2/4 0:00,,,,,,,https://web.archive.org/web/20090716031855/http://www.yoshimoto.co.jp/fukuoka/talent/papyu-n.html#talent-profile,,,
1482,117,パピヨンズ,2,22,,,,桂文喬（ちよみ）,ミヤ蝶美・蝶子,,蝶々新芸スクール,,,https://www.shochikugeino.co.jp/talents/papillons/,,,
1483,108,ハリセンボン ,2,22,,2003/1/1 0:00,,,,両者,NSC,,,http://harisenbon.net/,https://twitter.com/harisenbon_,https://www.youtube.com/channel/UCqZ9w_8BtpuYSC3PZam6INA,https://www.tiktok.com/@harisenbon_haruna
1484,45,ハルカラ,2,22,,2011/1/1 0:00,,,きょうのランチ,両者,,,,https://www.kdashstage.jp/profile/archives/12,,https://www.youtube.com/channel/UCwpRgEoI39-wg6NwVb_f_Sw,https://www.tiktok.com/@harukara.k
1485,85,パルフェ ,2,22,,2009/1/1 0:00,2011/1/1 0:00,,,,ワタナベコメディスクールの同期生同士,,,http://hp42.0zero.jp/831/yoiko/,,,
1486,117,春やすこ・けいこ,2,22,,1976/1/1 0:00,1985/1/1 0:00,,,,松竹芸能タレント養成所（1973年）,,,,,,
