id,事務所id,名前,人数,性別,別名,active,activeend,師匠,旧コンビ名,ネタ製作者,出会い,由来,公式サイト,YouTube,tiktok
1,108,アームストロング ,2,11,,2000/1/1 0:00,2014/1/1 0:00,,シベリアンハスキー,両者,幼稚園時代,,https://web.archive.org/web/20080210043729/http://armstrong.laff.jp/blog/,test,test
2,108,アイスクリーム ,2,11,,2005/1/1 0:00,2010/1/1 0:00,,勝山梶（ - 2009年12月） ホワイトブルー（勝山） アメリカバイソン（梶）,,,,,,
3,128,アイデンティティ ,2,11,,2004/1/1 0:00,,,,田島 直弥,,,,https://www.youtube.com/channel/UCxairDZpr_PzbzIaGLv7Q2Q,
4,999,アイナラット,2,11,,2020/1/1 0:00,,,,当麻,NSC,,,,
5,108,アイロンヘッド,2,11,,2007/1/1 0:00,,,,両者,京都産業大学の学生寮,,https://profile.yoshimoto.co.jp/talent/detail?id=5069,https://www.youtube.com/channel/UCWbL_7uDRd2Z-XjTFBuyLww,
6,108,アインシュタイン,2,11,,2010/1/1 0:00,,,河井山名（河井） バンパイア（稲田） ゴリラーズ,両者 （稲田が大筋を考え、河井が添削）,,,,https://www.youtube.com/channel/UCOQbu_y-fT-_ZvzCsz1r-kw,
7,145,青芝金太・紋太,2,11,,1978/1/1 0:00,1983/1/1 0:00,青芝フック,,,,,,,
8,145,青芝フック・キック,2,11,,1971/1/1 0:00,1996/1/1 0:00,,,,,,http://www.wakopro.co.jp/,,
9,999,青空一風・千風,2,11,,2012/1/1 0:00,,青空一歩・三歩 9代目林家正蔵,中村千葉,両者,,,,,
10,999,青空一歩・三歩,2,11,,1978/1/1 0:00,,青空千夜・一夜,,,,,,https://www.youtube.com/channel/UCVQj2QrU1V1IUYaInKlw0AA,
11,139,青空球児・好児,2,11,,1965/1/1 0:00,,,,,,,,,
12,999,青空千夜・一夜,2,11,,1954/1/1 0:00,1991/1/1 0:00,コロムビア・トップ・ライト （青空一門）,,,歌謡ショーの司会,,,,
13,999,青空東児・西児,2,11,,,,コロムビア・トップ・ライト,,,,,,,
14,104,あかいらか,2,11,,2009/4/1 0:00,2013/10/1 0:00,,,,,,,,
15,44,あがすけ,2,11,,2012/1/1 0:00,,,,吉村和彬,山形県立山形南高等学校 ・ラグビー部,,,,
16,117,暁照雄・光雄,2,11,,1987/1/1 0:00,2015/5/1 0:00,東洋軒雷右衛門,暁照夫・光夫,,,,,,
17,999,あかぼし☆こぼし,2,11,,2002/1/1 0:00,2011/1/1 0:00,,,,,,,,
18,96,赤もみじ,2,11,,2016/1/1 0:00,,,うぇるきん、パスタ（阪田） アンティーク、クイーン（村田）,両者,ハイスクールマンザイ,,https://www.maseki.co.jp/talent/akamomiji,,
19,999,アキカン,2,11,,2004/1/1 0:00,,,,,,,,,
20,96,あきげん,2,11,,2004/1/1 0:00,,,,,東京アナウンス学院,,https://www.maseki.co.jp/talent/akigen,,
21,999,秋田一号・二号,2,11,,,1970/1/1 0:00,,,,,,,,
22,999,秋田Aスケ・Bスケ,2,11,,1946/1/1 0:00,,秋田實,,,,,,,
23,108,アキナ ,2,11,,2012/1/1 0:00,,,金時（秋山） 河井山名（山名）ソーセージ（両者）,山名文和[1],事務所,,https://profile.yoshimoto.co.jp/talent/detail?id=3475,https://www.youtube.com/channel/UC3eIbNXyEDPjLriza8fbIJA,
24,108,秋山右楽・左楽,2,11,,1926/1/1 0:00,,,,,,,,,
25,104,アクシャン,2,11,,1995/1/1 0:00,,,,,,,,,
26,117,あくび虫,2,11,,1997/1/1 0:00,2003/1/1 0:00,,,,,,,,
27,98,アゲイン ,2,11,,2013/1/1 0:00,,,,両者,,,https://www.rising-up.jp/again,,
28,999,あご&きんぞう,2,11,,1980/1/1 0:00,1984/1/1 0:00,,,,,,,,
29,999,浅草キッド,2,11,,1987/1/1 0:00,,ビートたけし,,水道橋博士,ビートたけしの追っかけ,,https://tap-1.jp/kid/,,
30,85,朝倉小松崎,2,11,,2007/1/1 0:00,2011/1/1 0:00,,,小松崎和也,インターネット上での相方募集の呼びかけ,,,,
