,URL,名前,メンバー,人数,性別,別名,結成年,結成-1-1,解散年,解散-1-1,事務所,活動時期,師匠,出身,影響,出会い,旧コンビ名,旧トリオ名,旧グループ名,現在の活動状況,芸種,ネタ作成者,現在の代表番組,過去の代表番組,同期,公式サイト,受賞歴,YouTube
196,https://ja.wikipedia.org/wiki/%E9%AC%BC%E8%B6%8A%E3%83%88%E3%83%9E%E3%83%9B%E3%83%BC%E3%82%AF,鬼越トマホーク,金ちゃん 坂井 良多,2,11,,2010年 2011年（再結成）,2010/1/1,,,吉本興業,2010年5月 - 2010年7月  2011年11月 -,,NSC東京校15期,ダウンタウン,東京NSC,オニヤンマ（坂井） キャロルズ（金野）,,,ライブ、テレビなど,漫才、コント,両者,,,おかずクラブ マテンロウ デニス  ニューヨーク 西村ヒロチョ 横澤夏子 いぬ 黒木すず など,https://profile.yoshimoto.co.jp/talent/detail?id=3537,今宮子供えびすマンザイ新人コンクール 香川登枝緒記念敢闘賞（2014年） 決戦!お笑い有楽城優勝（2020年[1]）,https://www.youtube.com/channel/UCr7XbI_K1IPPk4ZrVbZlMDw
197,https://ja.wikipedia.org/wiki/%E9%AC%BC%E3%81%A8%E3%81%97%E3%81%BF%E3%81%A1%E3%82%83%E3%82%80,鬼としみちゃむ,鬼沢さん しみちゃむ,2,11,鬼しみ,2017年,2017/1/1,,,吉本興業,2017年6月1日 -,,,,,メトロクラフト、サーフィンズ（鬼沢）　スモーキングジョー、空飛ぶくじら（しみちゃむ）　チームデルタ(鬼沢),,,ライブなど,漫才,鬼沢さん,,,"セルライトスパ インディアンス ロングコートダディ (鬼沢)

さや香 蛙亭 ムラムラタムラ (しみちゃむ)",,,
198,https://ja.wikipedia.org/wiki/Over_Drive_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),Over Drive (お笑いコンビ),石野敦士 緒方雅史,2,11,,1996年,1996/1/1,2007年,2007/1/1,松竹芸能,1996年 - 2007年4月,,,,,テンショック（石野） doop（緒方）,,,解散（石野は俳優、緒方はピンで活動）,漫才・コント,,,爆笑オンエアバトル ワンダフル など,ダンディ坂野 ドランクドラゴン  ホーム・チーム  号泣,,1997年 第27回NHK上方漫才コンテスト優秀賞 1999年 第20回ABCお笑い新人グランプリ最優秀新人賞,
199,https://ja.wikipedia.org/wiki/%E3%81%8A%E3%81%AF%E3%82%88%E3%81%86%E3%80%82,おはよう。,芦澤和哉 功力富士彦,2,11,,1994年,1994/1/1,2005年,2005/1/1,吉本興業,1994年 - 2005年9月27日,,NSC大阪校12期,,,,,,テレビ、ライブ,漫才など,,,嵐MASSE!! 爆笑オンエアバトル 他,2丁拳銃、COWCOW、土肥ポン太、小籔千豊、ブラザース、鈴木つかさ、松本秀樹、無法松（ほたるゲンジ）他,,,
200,https://ja.wikipedia.org/wiki/%E3%81%8A%E3%81%BC%E3%82%93%E3%83%BB%E3%81%93%E3%81%BC%E3%82%93,おぼん・こぼん,おぼん こぼん,2,11,,1965年,1965/1/1,,,トービック,1965年 -,,日本 大阪府,,大阪福島商業高校,月見おぼん・こぼん,,,ライブ・テレビ等,漫才,おぼん,,,,,,
201,https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%AA%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%AB%E3%83%A9%E3%82%B8%E3%82%AA,オリエンタルラジオ,中田敦彦 藤森慎吾,2,11,オリラジ,2003年8月1日[1],2003/1/18,,,,2005年4月 -,,NSC東京校10期[2],ダウンタウン、千原兄弟、シティボーイズ、爆笑問題、キングコング,大学時代のアルバイト,,,,テレビ・ライブなど,リズム芸、漫才・コント,中田敦彦,らじらー! サンデーなど,オビラジR オリキュン 週刊オリラジ経済白書など,トレンディエンジェル はんにゃ フルーツポンチ ミルクボーイ 学天即 三四郎 ニッチェ 酒井健太（アルコ&ピース）など,http://orientalradio.jp/,輝け!2005年お笑いネタのグランプリ ブレイク賞[2],https://www.youtube.com/channel/UCEJ9hPjmge0UxpD9QA11MwQ
202,https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%AA%E3%82%AA%E3%83%B3%E3%83%AA%E3%83%BC%E3%82%B0,オリオンリーグ,玉代勢直 剛くん,2,11,,2010年,2010/1/1,,,東京吉本 →よしもとエンタテインメント沖縄,2010年6月1日 -,,NSC東京校6期（玉代勢） NSC東京校7期（剛くん）,,,エクステンション（玉代勢）,,,よしもと ExP,,,Laugh&Peace ラフピー～沖縄国際映画祭への道～,,,https://ameblo.jp/okinawa-yoshimoto/entry-12627390492.html?frm=theme,,
203,https://ja.wikipedia.org/wiki/%E3%81%8A%E3%82%8A%E3%81%8C%E3%81%BF_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),おりがみ (お笑いコンビ),入江真潮 山下正行,2,11,,2008年,2008/1/1,2017年,2017/1/1,ワタナベエンターテインメント九州事業本部,,,NSC東京校9期,,,鳳,,,解散,漫才,,,,ハリセンボン、しずる、ライス,http://www.watanabepro.co.jp/mypage/artist/kyusyu.html,,
204,https://ja.wikipedia.org/wiki/%E4%BF%BA%E3%81%AE%E3%83%90%E3%82%AB,俺のバカ,プチ鹿島 バカ野坂,2,11,,2003年,2003/1/1,,,大川興業,2003年 - ,,,,,,,,,,,,爆笑オンエアバトル インパクトなど,,,,
205,https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%AC%E3%83%B3%E3%82%B8_(%E3%81%8A%E7%AC%91%E3%81%84),オレンジ (お笑い),泉聡 田中哲也,2,11,,1999年,1999/1/1,,,吉本興業東海支社,1999年 -,,NSC名古屋校5期,,,,,,テレビ・ライブなど,漫才,,,,ザブングル,https://www.yoshimoto.co.jp/nagoya/talent/orange.html,2002年 第23回今宮子供えびすマンザイ新人コンクール 香川登枝緒記念敢闘賞,
206,https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%AC%E3%83%B3%E3%82%B8%E3%82%B8%E3%83%A5%E3%83%BC%E3%82%B9_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),オレンジジュース (お笑いコンビ),前田武伸 村上靖明,2,11,,2001年,2001/1/1,2007年,2007/1/1,プロダクション人力舎,2001年10月 - 2007年10月4日,,スクールJCA10期,,,,,,解散,漫才,,,爆笑オンエアバトル,ラバーガール、いけだてつや、慶、池田57CRAZY など,,,
207,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%BC%E3%82%B8%E3%83%8A%E3%83%AB%E3%82%B9_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),カージナルス (お笑いコンビ),タカ（ガダルカナル・タカ） ポポ（つまみ枝豆）,2,11,,,,,,,,,,,,,,,,コント,,,お笑いスター誕生!!,,,,
208,https://ja.wikipedia.org/wiki/%E3%82%AC%E3%83%BC%E3%83%AA%E3%82%A3%E3%83%AC%E3%82%B3%E3%83%BC%E3%83%89,ガーリィレコード,高井佳佑 フェニックス,2,11,,2012年,2012/1/1,,,吉本興業,2012年4月 -,,NSC東京校17期,,NSC,,,,ライブ、YouTube、テレビなど,コント、ものまね,フェニックス,ガーリィレコードチャンネル（YouTube）,,空気階段 ラフレクラン 侍スライス オズワルド ふりいくっ!,https://profile.yoshimoto.co.jp/talent/detail?id=6626,第0回スーパー野田ゲーPARTY eスポーツ大会 優勝（高井）,https://www.youtube.com/channel/UC6VjNLslXbb6Stl0I2MkQWA
209,https://ja.wikipedia.org/wiki/%E5%A4%96%E8%8B%91%E8%AD%A6%E5%82%99%E9%9A%8A,外苑警備隊,KID 原田 豪紀,2,11,,,,,,西口プロレス,,,,,幼馴染,,,,,,,,,,,,
210,https://ja.wikipedia.org/wiki/%E5%9B%9E%E8%BB%A2%E3%83%8F%E3%83%83%E3%82%B9%E3%83%AB,回転ハッスル,しのはらちっく 石村一也,2,11,,2008年11月,2008/1/11,2016年5月,2016/1/15,よしもとクリエイティブ・エージェンシー大阪本部,,,大阪NSC24期生（しのはら） 大阪NSC26期生（石村）,,,サンディサンディ（しのはら） ズボン（石村）,,,,漫才・コント,漫才・コント共に共同作成,,,,https://web.archive.org/web/20160919132303/http://search.yoshimoto.co.jp/talent_prf/?id=5910,,
211,https://ja.wikipedia.org/wiki/%E5%BF%AB%E7%9B%97%E3%82%B9%E3%82%BA%E3%83%A1_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),快盗スズメ (お笑いコンビ),関和紀 白川誠,2,11,,2006年,2006/1/1,,,よしもとクリエイティブ・エージェンシー,2007年 -,,,,鹿児島県,,,,ライブ、営業,漫才、諸芸,関和紀,,,渡辺直美、ジャングルポケットなど,,,
212,https://ja.wikipedia.org/wiki/%E3%81%8B%E3%81%84%E3%82%8F%E3%82%8C_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),かいわれ (お笑いコンビ),市川太一 北村洋平,2,11,,2005年,2005/1/1,2013年5月,2013/1/15,ホリプロコム,2005年 - 2013年5月,,目黒笑売塾3期生,,,弾丸ビーンズ（2011年7月頃まで）,,,解散（共に引退）,漫才,,,,KICK☆、スカイラブハリケーン,http://com.horipro.co.jp/profile/30dangan.html,,
213,https://ja.wikipedia.org/wiki/COWCOW,COWCOW,多田健二 善し,2,11,,1993年,1993/1/1,,,吉本興業,1994年 -,,NSC大阪校12期,,中学校時代,横綱,,,テレビ・ライブなど,漫才、コント、リズム芸、あるあるネタ,両者,,COWCOWの牛牛ブー COWCOWの横綱ライオット べえぇす! 情報ワイド てっぺん静岡,ロンドンブーツ1号2号 2丁拳銃 小籔千豊 土肥ポン太 浜本広晃（テンダラー）ペナルティ DonDokoDonなど,https://profile.yoshimoto.co.jp/talent/detail?id=191,1998年 ABCお笑い新人グランプリ 最優秀新人賞 1999年 NHK新人演芸大賞 大賞 2001年 上方漫才大賞 優秀新人賞 2015年 歌ネタ王決定戦2015 優勝,https://www.youtube.com/channel/UCdJxIr3VR_NY9Ga91tfAAzw
214,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%82%A6%E3%83%B3%E3%83%88%E3%83%80%E3%82%A6%E3%83%B3_(%E3%81%8A%E7%AC%91%E3%81%84),カウントダウン (お笑い),六波羅虎政 佐々木祐一,2,11,,2007年,2007/1/1,2011年,2011/1/1,よしもとクリエイティブ・エージェンシー札幌事,2007年 - 2011年,,教文13丁目笑学校,,,,,,,,,,,みちお（トム・ブラウン）,,,
215,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%82%AA%E3%83%9D%E3%82%A4%E3%83%B3%E3%83%88,カオポイント,おくまん 石橋哲也,2,11,,2003年,2003/1/1,2015年,2015/1/1,トゥインクル・コーポレーション 漫才協会,2003年 - 2015年,,,,創価大学落語研究会,,,,,コント、漫才,,,爆笑オンエアバトル エンタの神様など,,,,
216,https://ja.wikipedia.org/wiki/%E3%81%8B%E3%81%8C%E5%B1%8B,かが屋,加賀翔 賀屋壮也,2,11,,2015年,2015/1/1,,,マセキ芸能社,2015年 - 2020年8月11日[注 1] 2021年3月5日[注 2] -,,NSC大阪校35期 中退（加賀）,バナナマン [1],アルバイト先のコンビニエンスストア,,,,ライブ、テレビ、ラジオ,コント,両者（主導権は加賀）,爆笑問題&霜降り明星のシンパイ賞!! ネタパレ かが屋の鶴の間 イマナマ! 有吉の壁,,コウテイ、ゆりやんレトリィバァ、からし蓮根など（加賀）  東京ホテイソン、あいなぷぅ（パーパー）、ティモンディ など（賀屋）,https://www.maseki.co.jp/talent/kagaya,2018年 お笑いハーベスト大賞 本選進出 2019年 ツギクル芸人グランプリ 準優勝 2019年 キングオブコント 決勝6位 2019年 お笑い統一王座グランプリ 準優勝 2021年 R-1グランプリ 決勝3位 （賀屋）,https://www.youtube.com/channel/UCW3V11YgOJ0mz886m0lrXCw
217,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%82%AB%E3%83%AD%E3%83%8B,カカロニ,栗谷悟史 菅谷直弘,2,11,,2016年,2016/1/1,,,グレープカンパニー,2016年4月 -,,スクールJCA21期（栗谷） ワタナベコメディスクール14期（菅谷）,くりぃむしちゅー,共通の知人の紹介,ロメオ（栗谷） ベアードノーズ（菅谷）,,,テレビ、ライブなど,漫才、コント,両者,,冗談騎士 ゴッドタン ぐるぐるナインティナイン など,トンツカタン おとぎばなし ヤマグチクエストなど（栗谷） サツマカワRPG トキヨアキイ フレンチぶる さんだる チュランペットなど（菅谷）,https://grapecom.jp/talent_writer/kakaroni/,,https://www.youtube.com/channel/UCbVJQoifsVad_Jt6vW3f36A/videos
218,https://ja.wikipedia.org/wiki/%E3%82%AC%E3%82%AF%E3%83%85%E3%82%B1,ガクヅケ,船引亮佑 木田,2,11,,2014年,2014/1/1,,,マセキ芸能社,2014年2月-,,,,,ニホンカモシカ・ギャラリー（船引） 昆布ろせん（船引）,,,ライブなど,コント,両者,,,パーパー あいなぷぅ（木田）,https://www.maseki.co.jp/talent/gakuduke,,
219,https://ja.wikipedia.org/wiki/%E5%AD%A6%E5%A4%A9%E5%8D%B3,学天即,よじょう 奥田修二,2,11,,2005年9月,2005/1/19,,,吉本興業,2005年 -,,オーディション,笑い飯、麒麟,中学校,,,,テレビ・ライブなど,漫才,両者（主に奥田修二[1]）,よしもとラジオ高校?らじこー,ソガのプワジ もってる!? モテるくん,GAG、トット、タナからイケダ、ミルクボーイ ほか,https://profile.yoshimoto.co.jp/talent/detail?id=2870,2013年 第28回NHK新人演芸大賞 演芸部門大賞 2014年 第4回ytv漫才新人賞 優勝 2014年 第49回上方漫才大賞 新人賞 2015年 第50回上方漫才大賞 奨励賞,
220,https://ja.wikipedia.org/wiki/%E5%BD%B1%E6%AD%A6%E8%80%85X,影武者X,TOSHIKI ジョニー志村,2,11,,2009年,2009/1/1,2013年,2013/1/1,ツーフェイス・プロモーション,2009年 - 2013年,,,,,,,,,ものまね,,,TOSHIKI×ジョニーのやってみるか! ツーフェイスTVなど,,,,
221,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%82%B2%E3%83%A4%E3%83%9E,カゲヤマ,タバやん。 益田康平,2,11,,2009年,2009/1/1,,,吉本興業,2008年 -,,NSC東京校14期,,中学のサッカー部の同級生,,,,ライブ、テレビなど,コント、漫才,,,,ダイタク スパイク 山添寛（相席スタート） かじがや卓哉 ネルソンズ THE GREATEST HITSなど,https://profile.yoshimoto.co.jp/talent/detail?id=4187,,
222,https://ja.wikipedia.org/wiki/%E7%81%AB%E7%81%BD%E5%A0%B1%E7%9F%A5%E5%99%A8_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),火災報知器 (お笑いコンビ),小林知之 高松信太郎,2,11,,1998年,1998/1/1,,,太田プロダクション,1998年 -,,,,,,,,テレビ・ライブなど,コント,,,爆笑オンエアバトル 爆笑レッドカーペット など,,,,
223,https://ja.wikipedia.org/wiki/%E9%B9%BF%E5%B3%B6%E6%B4%8B%E3%80%85%E3%83%BB%E6%9E%97%E6%AD%A3%E4%BA%8C%E9%83%8E,鹿島洋々・林正二郎,鹿島洋々 林正二郎,2,11,,,,1967年頃,1967/1/1,,,桂助六（鹿島洋々） 林家染団治（林正二郎）,,,,,,,,漫才,,,,,,,
224,https://ja.wikipedia.org/wiki/%E9%A6%99%E5%B3%B6%E3%83%A9%E3%83%83%E3%82%AD%E3%83%BC%E3%83%BB%E5%BE%A1%E5%9C%92%E3%82%BB%E3%83%96%E3%83%B3,香島ラッキー・御園セブン,香島ラッキー 御園セブン,2,11,香島 楽貴・矢代 世文,1930年頃,1930/1/1,,,吉本興業東京本部,,,,,,,,,,漫才,,,,,,,
225,https://ja.wikipedia.org/wiki/%E3%81%8C%E3%81%98%E3%82%85%E3%81%BE%E3%82%8B,がじゅまる,スミちゃん こば小林,2,11,,2012年,2012/1/1,,,フリー →オフィス北野 →浅井企画,2010年 -,,ワタナベコメディスクール12期,,ワタナベコメディスクール,すみとモ（スミ）あしゅらんレンジャー ピンスポーン（小林）,,,ライブ、テレビなど,漫才、リズムネタ,こば小林,,,ハナコ クマムシ エイトブリッジなど,,,
226,https://ja.wikipedia.org/wiki/%E3%82%AC%E3%82%B9%E3%83%9E%E3%82%B9%E3%82%AF%E3%82%AC%E3%83%BC%E3%83%AB,ガスマスクガール,畠山達也 山元康輔,2,11,,2008年,2008/1/1,2011年,2011/1/1,よしもとクリエイティブ・エージェンシー,2008年3月 - 2011年8月,,NSC大阪校29期,,,,,,,漫才、コント,,,,見取り図 吉田たち コマンダンテなど,,2009年 第30回ABCお笑い新人グランプリ 審査員特別賞 2010年 第31回ABCお笑い新人グランプリ 新人賞,
227,https://ja.wikipedia.org/wiki/%E9%A2%A8%E7%8A%AC%E3%83%8A%E3%83%B3%E3%82%B8%E3%83%A3,風犬ナンジャ,江口ゆきひさ 梅太郎,2,11,,,,2011年,2011/1/1,ワタナベエンターテインメント,,,ワタナベコメディスクール2期,,小学校,,,,,,,,風犬ナンジャのだけんなんや!など,,,,
228,https://ja.wikipedia.org/wiki/%E3%81%8B%E3%81%9F%E3%81%A4%E3%82%80%E3%82%8A_(%E3%81%8A%E7%AC%91%E3%81%84),かたつむり (お笑い),中澤本鮪 林大介 ニュー岡部,2,11,,2005年 2012年（活動再開）,2005/1/1,2009年（活動休止）,2009/1/1,吉本興業,2005年4月 - 2009年11月 2012年12月 - 2016年12月 （コンビとして） 2017年1月 -  （トリオとして）,,NSC東京校10期,,NSC,マインドコントロール,,,テレビ・ライブなど,漫才、コント,,,コンバット あらびき団 オンバト+など,オリエンタルラジオ フルーツポンチ はんにゃ トレンディエンジェルなど,,2011年 R-1ぐらんぷり 準決勝進出（林） 2020年 キングオブコント 準決勝進出,
229,https://ja.wikipedia.org/wiki/%E3%81%8C%E3%81%A3%E3%81%A4%E3%81%8D%E3%81%9F%E3%81%84%E3%81%8B,がっつきたいか,市村雄介 くらっちゃん,2,11,,2003年6月,2003/1/16,,,ワタナベエンターテインメント →SMA NEET Project,2003年 -,,,,,,,,ライブ、テレビなど,コント,,なし,爆笑オンエアバトル オンバト+ など,,https://neet-project.com/profile/gattsuki/,『キングオブコント2011』準決勝進出 『キングオブコント2012』準決勝進出,
230,https://ja.wikipedia.org/wiki/%E3%82%AC%E3%83%83%E3%83%84%E3%83%9E%E3%83%B3_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),ガッツマン (お笑いコンビ),ヤマト たっぷり藤原,2,11,,2011年[1],2011/1/1,,,ワタナベエンターテインメント,2011年10月1日[1] -,,ワタナベコメディスクール13期,,,ゴールデンエイジ,,,テレビ・ライブなど,漫才、コント,ヤマト[2],,,,https://www.watanabepro.co.jp/mypage/4000075/,,
231,https://ja.wikipedia.org/wiki/%E3%82%AC%E3%83%83%E3%83%9D%E3%83%AA%E5%BB%BA%E8%A8%AD,ガッポリ建設,小堀敏夫 室田稔,2,11,,1997年3月,1997/3/1,,,WAHAHA商店,,,,,,,,,,漫才、コント,,,あらびき団 ザ・ノンフィクションなど,,,2009年度 第2回お笑い全日本カップ優勝,
232,https://ja.wikipedia.org/wiki/%E5%8B%9D%E5%8F%88,勝又,ani 弟（2018年まで）,2,11,,2009年,2009/1/1,2018年,2018/1/1,フリー,2009年 - 2018年,,ani- 目黒笑売塾1期生 弟 - 目黒笑売塾2期生,,,,,,,コント,ani,,,ani - ザ・たっち、永井佑一郎、花香よしあきなど 弟 - 永尾宗大（元相方）,,,
233,https://ja.wikipedia.org/wiki/%E6%A1%82%E9%AB%98%E4%B8%B8%E3%83%BB%E8%8F%8A%E4%B8%B8,桂高丸・菊丸,桂高丸 桂菊丸,2,11,,1964年,1964/1/1,1973年,1973/1/1,,1964年 - 1973年,四代目桂米丸,,,,,,,,漫才,,,,,,,
234,https://ja.wikipedia.org/wiki/%E5%8A%A0%E3%83%88%E3%81%A1%E3%82%83%E3%82%93%E3%82%B1%E3%83%B3%E3%81%A1%E3%82%83%E3%82%93,加トちゃんケンちゃん,加藤茶 志村けん,2,11,加トケン、カトケン,1986年1月11日,1986/1/11,2020年3月29日,2020/1/13,イザワオフィス,1986年1月11日 - 2020年3月29日,いかりや長介,日本・東京都世田谷区（加藤）、同東村山市（志村）,,志村がドリフの付き人として加入。,,,,2020年3月29日、志村の死去に伴い事実上コンビ解消。,ヒゲダンス,,,本文参照,,,,
235,https://ja.wikipedia.org/wiki/%E9%96%80%E5%87%BA%E3%83%94%E3%83%BC%E3%83%81%E3%82%AF%E3%83%91%E3%83%BC%E3%83%81%E3%82%AF,門出ピーチクパーチク,AKI 加藤パーチク,2,11,,2009年,2009/1/1,2014年,2014/1/1,ベンヌ,2009年2月 - 2014年3月,,愛知県名古屋市（AKI） 神奈川県横須賀市（加藤パーチク）,,大学時代,TOP BRAND,,,テレビ、ラジオ、ライブなど,漫才,,,,,,,
236,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%8A%E3%83%AA%E3%82%A2_(%E3%81%8A%E7%AC%91%E3%81%84),カナリア (お笑い),安達健太郎 ボン溝黒,2,11,,2003年,2003/1/1,2018年,2018/1/1,吉本興業,2003年 - 2018年,,NSC大阪校21期,,NSC,ババリア（ボン） シュガーライフ（安達）,,,解散（共にピンで活動）,漫才、コント,安達健太郎,なし,爆笑オンエアバトル 爆笑レッドカーペット ゴーK! 20マウス あるあるYYテレビ など,レギュラー 天津 千鳥 村田秀亮（とろサーモン） 毛利大亮（ギャロップ）,https://profile.yoshimoto.co.jp/talent/detail?id=306,2010年 M-1グランプリ 9位,
237,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%8E%E3%83%B3_(%E3%81%8A%E7%AC%91%E3%81%84),カノン (お笑い),田丸裕章 樋山潤,2,11,,2003年,2003/1/1,2011年,2011/1/1,松竹芸能,2003年 - 2011年,,,,早稲田大学寄席演芸研究会,マリコ,,,解散,コント、漫才,両者,なし,あらびき団,,,,
238,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%90%E3%81%A8%E7%88%86%E3%83%8E%E4%BB%8B,カバと爆ノ介,カバ 爆ノ介,2,11,カバ爆,2007年,2007/1/1,2016年,2016/1/1,吉本興業,2007年 - 2016年6月25日,,,,NSC大阪校30期,,,,解散（カバは吉本新喜劇、爆ノ介はザ・プラン9に加入）,コント,爆ノ介,,,アイロンヘッド 令和喜多みな実 尼神インター ダブルアートなど,http://search.yoshimoto.co.jp/talent_prf/?id=3348,2010年 第31回ABCお笑い新人グランプリ 新人賞  2012年 キングオブコント準決勝進出 2015年 ytv無差別級お笑いトーナメント ウケタモンガチ 初代チャンピオン 2015年 キングオブコント 準決勝進出,
239,https://ja.wikipedia.org/wiki/%E3%82%AC%E3%83%96%26%E3%81%B4%E3%83%BC%E3%81%A1,ガブ&ぴーち,伊勢崎泰啓 三好秀典,2,11,,2003年,2003/1/1,2010年,2010/1/1,吉本興業,2003年 - 2010年,,NSC東京校8期,,中学の同級生,,,,解散,漫才、コント,,,やりすぎコージー、本番で～す! など,スリムクラブ、ジョイマン、こりゃめでてーな など,,,
240,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%95%E3%82%AB_(%E3%81%8A%E7%AC%91%E3%81%84%E8%8A%B8%E4%BA%BA),カフカ (お笑い芸人),小保内,2,11,,2016年5月,2016/5/1,2019年,2019/1/1,Office Peer Gynt,2016年 - 2019年,,,,,,,,ピン芸人,漫才、コント,,,,,,,
241,https://ja.wikipedia.org/wiki/(%E6%A0%AA)%E3%81%82%E3%81%BE%E3%81%A4%E3%81%8B%E7%AC%91%E4%BA%8B,(株)あまつか笑事,天田たろー 大塚じぇい,2,11,,,,2013年,2013/1/1,ソーレアリア,2006年 - 2013年,,目黒笑売塾4期生,,,,,,ライブ、テレビ,漫才,,,,ガルウィング （目黒笑売塾同期）,http://pws.prserv.net/amatsuka_shoji/,,
242,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%96%E3%83%88%E3%83%A0%E3%82%B7_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),カブトムシ (お笑いコンビ),こすけ てつを,2,11,,2004年4月,2004/1/14,2012年2月,2012/1/12,DreamFactory （2004年 - 2006年） ソーレアリア （2006年5月 - 2012年2月）,2004年 - 2012年,,,,高知大学南溟寮,CUB&MUSI,,,解散（両者、共に引退）,コント、漫才,,なし,爆笑オンエアバトル オンバト+ エンタの神様 など,,,第2回仙台お笑いコンテスト優勝（2010年）,
243,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC,カベポスター,永見大吾 浜田順平,2,11,カベポ,2014年5月,2014/1/15,,,吉本興業（大阪）,2014年5月 -,,NSC大阪校36期,,,夕暮れフール （永見） たてじまペンギン ほ乳類 初乗りトーマス（ピン） （浜田）,,,ライブ中心,漫才、コント,永見大吾,,ワイスタ!,8.6秒バズーカー 真輝志（きんめ鯛） きむらバンド（たくろう） ダブルヒガシ オダウエダ 丸亀じゃんご など,https://profile.yoshimoto.co.jp/talent/detail?id=6356,2019年 第40回ABCお笑いグランプリ 準優勝  2020年 第5回上方漫才協会大賞 文芸部門賞 2021年 第6回上方漫才協会大賞 新人賞,
244,https://ja.wikipedia.org/wiki/%E3%81%8B%E3%81%BE%E3%81%84%E3%81%9F%E3%81%A1_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),かまいたち (お笑いコンビ),山内健司 濱家隆一,2,11,,2004年[1],2004/1/1,,,吉本興業,2004年 -,,NSC大阪校26期,ダウンタウン,大阪NSC,鎌鼬,,,テレビ・ライブなど,漫才、コント,山内健司,かまいガチ かまいたちの机上の空論城 かまいたちの掟 かまいたちの知らんけど  これ余談なんですけど・・・,ふくらむスクラム!! もう少し、嫌な奴 NMBとまなぶくん  千鳥VSかまいたち,藤崎マーケット 天竺鼠 和牛 山名文和（アキナ） 河井ゆずる（アインシュタイン） バイク川崎バイク 守谷日和 ハリセンボン しずる ライス 菅良太郎（パンサー） 狩野英孝 布川ひろき（トム・ブラウン） など,https://profile.yoshimoto.co.jp/talent/detail?id=636,2007年 第28回ABCお笑い新人グランプリ 最優秀新人賞 2007年 笑いの超新星 新人賞 2008年 第43回上方漫才大賞 新人賞 2012年 第33回ABCお笑いグランプリ 優勝 2012年 第42回NHK上方漫才コンテスト 優勝 2016年 歌ネタ王決定戦 優勝 2017年 キングオブコント 優勝 2018年 ロケ芸人最強決定戦 外王 優勝 2019年 ロケ最強芸人決定戦 外王 優勝 2019年 第54回上方漫才大賞 奨励賞  2019年 M-1グランプリ 準優勝 2020年 第5回上方漫才協会大賞 特別賞 2021年 第56回上方漫才大賞 大賞,https://www.youtube.com/channel/UCIR2mQ77wHrLMreV45nYhgw
245,https://ja.wikipedia.org/wiki/%E4%B8%8A%E6%96%B9%E6%9F%B3%E6%AC%A1%E3%83%BB%E6%9F%B3%E5%A4%AA,上方柳次・柳太,上方柳次 上方柳太,2,11,柳柳,,,,,松竹芸能,,2代目博多淡海（上方柳次）,,,,,,,,漫才,,,演芸まんがショー おはこ寄席,,,1976年 第11回上方漫才大賞 奨励賞 2012年 第16回上方演芸の殿堂入り,
