,URL,名前,メンバー,人数,性別,別名,結成年,結成-1-1,解散年,解散-1-1,事務所,活動時期,師匠,出身,影響,出会い,旧コンビ名,旧トリオ名,旧グループ名,現在の活動状況,芸種,ネタ作成者,現在の代表番組,過去の代表番組,同期,公式サイト,受賞歴,YouTube
801,https://ja.wikipedia.org/wiki/%E3%81%A8%E3%82%93%E3%81%BA%E3%81%A6%E3%81%83%E3%83%BC%E3%81%9A,とんぺてぃーず,きのした先生、たかしろ,2,11,,2016年2月,2016/1/12,,,よしもとクリエイティブ・エージェンシー,,,,,,せかいちず、ワシやワシ,,,,傘回し,,,,,https://www.youtube.com/channel/UCWJ-EW6D9nRP5LAsuXRG1Zg,,
802,https://ja.wikipedia.org/wiki/%E3%83%8A%E3%82%A4%E3%83%81%E3%83%B3%E3%82%B2%E3%83%BC%E3%83%AB%E3%83%80%E3%83%B3%E3%82%B9,ナイチンゲールダンス,中野なかるてぃん ヤス,2,11,,2013年,2013/1/1,,,吉本興業東京,,,NSC東京校22期,,大学のお笑いサークル,Mr.潜水艦（中野） ラリアットカンガルーペロンペロン（ヤス）,,,ライブなど,漫才、コント,両者,,,バガリア まんぷくユナイテッド プール等,,2014年学生R-1 優勝(中野) 2015年大学生M-1グランプリ 優勝 2017年NSC 大ライブ TOKYO 2017 優勝,https://www.youtube.com/user/ナイチンゲールダンスチャンネル
803,https://ja.wikipedia.org/wiki/%E3%83%8A%E3%82%A4%E3%83%84_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),ナイツ (お笑いコンビ),塙宣之 土屋伸之,2,11,,2000年,2000/1/1,,,マセキ芸能社,2001年 -,内海桂子 三遊亭小遊三,,ダウンタウン,創価大学落語研究会,,,,テレビ・ライブなど,漫才 YouTuber,塙宣之,ナイツのHIT商品会議室 お笑い演芸館 ナイツのちゃきちゃき大放送 ザ・ラジオショー Eテレ0655&2355,キャンパスナイトフジ ミレニアムズ DON!など,オードリー NON STYLE スーパーマラドーナ 南海キャンディーズ キングコング U字工事 タイムマシーン3号 流れ星 アンガールズ ダイアン 平成ノブシコブシなど,https://www.maseki.co.jp/talent/knights,2003年 漫才新人大賞 大賞 2008年 お笑いホープ大賞 大賞 2008年 NHK新人演芸大賞 大賞 2008年 M-1グランプリ 第3位 2009年 ビートたけしのエンターテインメント賞 日本芸能大賞 2009年 浅草芸能大賞 新人賞 2009年 M-1グランプリ 第4位 2010年 M-1グランプリ 第6位 2016年 浅草芸能大賞 奨励賞,https://www.youtube.com/channel/UCG4PIPvmm838XWIJgKFKisw
804,https://ja.wikipedia.org/wiki/%E3%83%8A%E3%82%A4%E3%83%B3%E3%83%86%E3%82%A3%E3%83%8A%E3%82%A4%E3%83%B3,ナインティナイン,岡村隆史 矢部浩之,2,11,,1990年4月,1990/1/14,,,吉本興業,1991年 -,,NSC大阪校9期,とんねるず,大阪府立茨木西高等学校,,,,テレビ中心,コント 漫才,岡村隆史,レギュラー番組 ぐるぐるナインティナイン  ナインティナインのオールナイトニッポン スペシャル番組 爆笑ヒットパレード THE MANZAI マスターズ ナイナイのお見合い大作戦! ENGEIグランドスラム,ジャングルTV 笑っていいとも! ASAYAN ナイナイサイズ! 吉本印天然素材 解決!ナイナイアンサー めちゃ2イケてるッ! など,キャイ?ン ずん よゐこ 宮川大輔 星田英利 矢野・兵動 へびいちご 川畑泰史 日村勇紀（バナナマン）ほか,https://profile.yoshimoto.co.jp/talent/detail?id=267,1991年 今宮子供えびすマンザイ新人コンクール こども大賞 1992年：第13回ABCお笑い新人グランプリ最優秀新人賞 1993年：第22回上方お笑い大賞銀賞 1997年：第39回ブルーリボン賞 新人賞・作品賞,
805,https://ja.wikipedia.org/wiki/%E3%83%8A%E3%82%A4%E3%83%B3%E3%83%9C%E3%83%BC%E3%83%AB_(%E8%8A%B8%E4%BA%BA),ナインボール (芸人),ヤッキー もとよ,2,11,,2005年,2005/1/1,,,太田プロダクション,2005年-,,,,,,,,,,,,,,,,
806,https://ja.wikipedia.org/wiki/%E4%B8%AD%E5%B7%9D%E5%AE%B6,中川家,中川剛 中川礼二,2,11,,1992年,1992/1/1,,,吉本興業,1993年 -,,NSC大阪校11期,太平サブロー・シロー オール阪神・巨人,実兄弟,中川兄弟、中川中川,,,テレビ・ライブなど,漫才 コント,剛（漫才）、礼二（コント）,中川家&コント,せやねん! リチャードホール 中川家ん! ジャイケルマクソン 中川家 家電の流儀など,陣内智則 ケンドーコバヤシ たむらけんじ 児嶋一哉（アンジャッシュ） ハリウッドザコシショウ など,https://profile.yoshimoto.co.jp/talent/detail?id=022,1995年 第30回上方漫才大賞 新人賞 1996年 ABCお笑い新人グランプリ 最優秀新人賞 2001年 上方お笑い大賞 最優秀技能賞 2001年 M-1グランプリ 優勝 2002年 ゴールデン・アロー賞 芸能賞 2003年 国立演芸場花形演芸大賞 銀賞 2009年 S-1バトル 月間チャンピオン（11月） 2010年 第45回上方漫才大賞 大賞 2019年 第54回上方漫才大賞 大賞,https://www.youtube.com/channel/UCOg6P-Ne5Hdd5tDtcOHDd-Q
807,https://ja.wikipedia.org/wiki/%E4%B8%AD%E7%94%B0%E3%82%AB%E3%82%A6%E3%82%B9%E3%83%BB%E3%83%9C%E3%82%BF%E3%83%B3,中田カウス・ボタン,中田カウス 中田ボタン,2,11,,1967年[1],1967/1/1,,,吉本興業,1967年 -,上方柳次・柳太、中田アップ（カウス） 中田アップ（ボタン）,,,大阪市内のバー,,,,テレビ・ライブなど,漫才,,,,,,,
808,https://ja.wikipedia.org/wiki/%E4%B8%AD%E7%94%B0%E3%83%80%E3%82%A4%E3%83%9E%E3%83%AB%E3%83%BB%E3%83%A9%E3%82%B1%E3%83%83%E3%83%88,中田ダイマル・ラケット,中田ダイマル 中田ラケット,2,11,ダイラケ,1941年,1941/1/1,,,松長興業→松竹芸能→吉本興業,,,,,,,,,,漫才,,,お笑い街頭録音 ダイラケ二等兵 ダイラケのびっくり捕物帖 スチャラカ社員 ダイマル・ラケットのみんなの歌謡曲 すかたん社員など,,,,
809,https://ja.wikipedia.org/wiki/%E4%B8%AD%E7%94%B0%E3%81%AF%E3%81%98%E3%82%81%E3%83%BB%E5%9C%AD%E7%A5%90,中田はじめ・圭祐,中田はじめ 中田圭祐,2,11,,1986年,1986/1/1,1991年,1991/1/1,吉本興業,1986年 - 1991年,中田ボタン,,,,大井・二宮,,,解散,漫才,,,,,,,
810,https://ja.wikipedia.org/wiki/%E4%B8%AD%E5%BC%B5%E5%8F%88%E5%BC%B5,中張又張,白井伸大 高道大輔,2,11,,2010年,2010/1/1,2013年,2013/1/1,よしもとクリエイティブ・エージェンシー,2010年 - 2013年,,NSC大阪校32期,,高校,,,,解散（白井のみピンで活動）,コント,,なし,,,,,
811,https://ja.wikipedia.org/wiki/%E3%81%AA%E3%81%8B%E3%82%88%E3%81%97_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),なかよし (お笑いコンビ),坂本大輔 熊本浩武,2,11,,1993年,1993/1/1,2000年,2000/1/1,吉本興業,1993年 - 2000年,,東京アナウンス学院,,東京アナウンス学院,,,,解散,漫才、コント,,,急性吉本炎 吉本ばかな,ロンドンブーツ1号2号 ペナルティ 小籔千豊 2丁拳銃,,,
812,https://ja.wikipedia.org/wiki/%E4%BB%B2%E8%89%AF%E3%81%97%E3%82%B3%E3%83%B3%E3%83%93,仲良しコンビ,まさと 上方よしお,2,11,,,,,,,1980年代,,,,,,,,,,,,オレたちひょうきん族 笑ってる場合ですよ! THE MANZAI,,,,
813,https://ja.wikipedia.org/wiki/%E3%81%AA%E3%81%8B%E3%82%88%E3%81%97%E3%83%93%E3%82%AF%E3%83%88%E3%83%AA%E3%83%BC%E3%82%BA,なかよしビクトリーズ,岡田康太 下村達也,2,11,,2009年[1],2009/1/1,2020年,2020/1/1,フリー →ホリプロコム →フリー,2009年2月1日 - 2016年5月31日  2018年4月21日 - 2020年10月31日,,,,中学の同級生,ロシア計画 （2006年 - 2009年） オレンジサンセット （2009年 - 2016年） プルメリアンズ （岡田　2016年） カハラ （岡田　2017年） 新オレンジサンセット （2018年 - 2019年）,,,解散（下村は引退、岡田はピンで活動）,漫才,岡田康太,,1ばんスクラム!! ふくらむスクラム!! 爆笑ファクトリーハウス 笑けずり なかよしビクトリーズのオレンジサンセット(GERA放送局),,https://www.youtube.com/channel/UCw8JOTMz9DDIhW2qkxF893g,2006年 第4回M-1甲子園三重予選大会 優勝 2007年 第5回M-1甲子園大阪予選大会 優勝 2008年 第6回M-1甲子園大阪予選大会 優勝,
814,https://ja.wikipedia.org/wiki/%E6%B5%81%E3%82%8C%E6%98%9F%E2%98%86_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),流れ星☆ (お笑いコンビ),ちゅうえい TAKIUE,2,11,,2000年,2000/1/1,,,浅井企画,2000年6月 -,,岐阜県,,岐阜県立斐太高等学校,,,,テレビ・ラジオ・Web・ライブ,漫才,TAKIUE,流れ星のキッズスクール 流れ星のながらじお!,爆笑オンエアバトル 爆笑レッドカーペット エンタの味方 ミレニアムズ 流れ星のネバー岐阜アップ エビ中++ 流れ星の笑わさ～すDAY!  おはスタ,タイムマシーン3号 オードリー スーパーマラドーナ U字工事 ナイツ アンガールズ 南海キャンディーズ キングコング NON STYLE,http://asaikikaku.co.jp/talent/profile/nagareboshi,2006年 GyaO お笑いサタデーナイトファイバー グランドチャンピオン大会 優勝 2008年 第7回漫才新人大賞 優秀賞 2013年 おもしろ荘 優勝 2014年 第14回ビートたけしのエンターテインメント賞 日本芸能大賞,
815,https://ja.wikipedia.org/wiki/%E3%81%AA%E3%81%99%E3%81%AA%E3%81%8B%E3%81%AB%E3%81%97,なすなかにし,那須晃行 中西茂樹,2,11,,2001年,2001/1/1,,,松竹芸能,2001年 -,,,,いとこ同士,那須・中西 いまぶーむ,,,テレビ・ライブなど,漫才,,,爆笑オンエアバトル ますだおかだ角パァ! 知っとこ! PON! ちちんぷいぷいなど,,https://www.shochikugeino.co.jp/talents/nasunakanishi,2003年 第4回笑わん会 優秀賞 2004年 第33回上方お笑い大賞　新人賞 2005年 第26回ABCお笑い新人グランプリ　優秀新人賞 2005年 第34回上方お笑い大賞　新人賞 2006年 第36回NHK上方漫才コンテスト　優秀賞 2006年 第35回上方お笑い大賞　新人賞 2007年 第42回上方漫才大賞　優秀新人賞,
